ID,gForceX,gForceY,gForceZ,rotX,rotY,rotZ,rawWeight
404,0.78,0.51,-0.05,-59.36,0.6,118.25,27185
405,0.89,0.3,0.01,-59.66,2.29,111.4,22019
406,1.23,0.13,0.04,-58.84,-1.95,106.9,16596
407,1.07,-0.15,0.06,-59.28,5.39,124.06,9500
408,0.91,-0.36,-0.02,-59.81,1.07,117.63,2017
409,0.8,-0.51,0.0,-59.09,1.48,110.95,-6223
410,0.69,-0.66,-0.04,-59.03,1.19,105.17,-12904
411,0.4,-0.95,-0.16,-59.7,-1.62,116.01,-19735
412,0.44,-0.94,-0.07,-59.07,2.87,111.61,-25607
413,0.18,-0.98,-0.15,-59.0,1.76,104.14,-31551
414,-0.03,-1.01,-0.15,-58.14,2.23,92.42,-36219
415,-0.12,-1.11,-0.18,-58.21,0.97,92.23,-38684
416,-0.35,-0.99,-0.27,-60.37,1.96,121.12,-40133
417,-0.58,-0.92,-0.18,-59.37,1.18,124.54,-41072
418,-0.72,-0.75,-0.22,-59.1,0.21,113.24,-40055
419,-0.88,-0.57,-0.27,-59.42,1.73,104.39,-35104
420,-0.95,-0.44,-0.28,-58.55,-1.34,97.57,-30020
421,-1.01,-0.26,-0.28,-58.39,0.02,93.69,-25036
422,-1.04,-0.14,-0.26,-58.24,2.13,86.69,-19283
423,-1.06,0.1,-0.3,-58.09,1.67,87.79,-13264
